x,y,z
-11.814,-0.692,91.726
-11.732,-0.569,92.08
-10.945,-0.417,92.348
-10.919,-0.296,92.622
-10.906,-0.171,92.927
-10.955,0.061,92.905
-11.012,0.366,93.149
-11.144,0.724,92.929
-11.211,0.978,93.18
-11.191,1.238,93.058
-11.235,1.491,93.072
-11.411,1.649,93.179
-11.695,1.69,92.948
-11.96,1.852,92.254
-12.08,1.973,91.824
-12.25,2.218,91.827
-12.517,2.582,91.559
-12.701,2.872,91.434
-12.745,3.191,91.68
-12.677,3.474,91.648
-12.364,3.574,91.824
-12.054,3.748,91.637
-11.607,4.015,91.376
-11.451,4.178,91.134
-11.499,4.196,91.15
-11.92,4.0,90.938
-12.015,3.665,90.574
-11.851,3.259,90.482
-11.517,2.947,90.461
-11.138,2.69,90.672
-10.92,2.67,90.534
-10.923,2.846,90.574
-10.964,2.941,90.92
-10.942,3.098,91.019
-10.804,3.011,91.425
-10.267,2.562,91.526
-9.667,2.106,91.377
-9.567,1.934,91.0
-9.168,1.934,91.0
-7.957,1.324,90.723
-7.434,1.139,90.737
-6.976,1.03,90.833
-6.703,0.917,91.01
-6.65,0.946,91.102
-6.622,0.948,91.163
-6.991,0.819,91.089
-7.04,0.806,91.089
-7.654,0.386,90.793
-7.994,0.29,91.043
-8.4,0.279,90.901
-8.682,0.219,90.996
-8.838,0.143,91.239
-9.089,-0.127,91.152
-9.136,-0.497,90.908
-8.715,-0.873,90.846
-8.411,-1.052,90.572
-8.099,-1.308,90.379
-7.89,-1.632,90.015
-8.055,-1.888,90.085
-8.342,-1.975,89.737
-8.572,-1.889,89.5
-8.639,-1.77,89.267
-8.642,-1.77,89.267
-9.079,-1.76,89.476
-9.27,-1.826,89.342
-9.623,-1.922,89.42
-9.814,-1.907,89.279
-9.919,-1.745,89.514
-9.981,-1.505,89.255
-10.086,-1.289,89.185
-10.053,-1.029,89.01
-9.515,-0.786,89.008
-9.469,-0.704,88.862
-9.578,-0.458,88.668
-9.777,-0.475,88.604
-9.96,-0.598,88.802
-10.152,-0.784,88.814
-10.175,-1.021,88.967
