x,y,z
1.728,-12.922,98.594
1.748,-12.905,99.01
1.778,-13.002,99.277
1.25,-12.959,99.408
1.25,-12.787,99.51
0.683,-12.373,99.565
0.221,-11.886,99.625
0.123,-11.848,99.625
-0.807,-11.078,99.576
-0.807,-10.683,99.585
-1.288,-10.683,99.521
-2.208,-9.79,99.382
-2.275,-9.758,99.382
-3.017,-9.209,98.907
-3.281,-9.026,98.321
-3.471,-8.68,97.993
-3.753,-8.275,97.679
-3.476,-7.997,97.435
-2.893,-7.988,97.326
-2.804,-8.037,97.213
-2.096,-7.988,96.913
-1.538,-7.85,96.541
-0.642,-8.053,96.214
